,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
2535,Follow us behind the scenes #THEWEEKNDxHM  ,False,306,,2017-09-29 07:00:01,False,,913659612368224257,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",hm,81,False,False,,,0.0,0.0,0.0,1.0
2536,  <U+0001F342><U+0001F342><U+0001F342><U+0001F342><U+0001F342><U+0001F342> ,False,0,,2017-09-28 18:50:35,False,,913476047689191424,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hm,1467,True,False,,,0.0,0.0,0.0,1.0
2537,Discover a collection featuring iconic styles with an understated streetwear vibe #THEWEEKNDxHM  #HMMan ,False,614,,2017-09-28 15:00:26,True,,913418125789601792,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,199,False,False,,,0.0,0.0,0.0,1.0
2538,"The modern man embraces autumn in warm, luxe textures and accents in bold jewel tones. #HM #HMMan ",False,159,,2017-09-28 10:30:14,True,,913350129641541632,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,35,False,False,,,0.7184,0.333,0.0,0.667
2539,H&amp;Ms  Collection film has landed. Shop the collection in store and online  ,False,643,,2017-09-28 07:00:03,True,,913297234581581824,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",hm,254,False,False,,,0.0,0.0,0.0,1.0
2540, . tomorrow ,False,0,,2017-09-27 16:18:04,False,,913075275147218944,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hm,12912,True,False,,,0.0,0.0,0.0,1.0
2541," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,3,JustinVicencio,2017-09-27 15:54:04,False,9.107143203963453e+17,913069235219435521,255464425.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2542," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,biebtana,2017-09-27 15:52:04,False,9.104530399447122e+17,913068732041302016,1016687490.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2543," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,2,,2017-09-27 15:50:04,False,,913068228200591362,,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2544," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,nadineschirm,2017-09-27 15:48:04,False,9.104579393491845e+17,913067724825354240,352965973.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2545," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,AndreesAlonso,2017-09-27 15:46:04,False,9.105077456270336e+17,913067224692396033,132177276.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2546," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,MeelisaBerisha,2017-09-27 15:44:04,False,9.105611842308588e+17,913066718460858373,485141322.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2547," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,3,SergiPedrero,2017-09-27 15:42:04,False,9.100838095169536e+17,913066214792073218,38774468.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2548," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,28Bieb,2017-09-27 15:38:04,False,9.099967840757596e+17,913065209849421824,437674718.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2549," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,iRauhlLikeJB,2017-09-27 15:36:05,False,9.091346829980467e+17,913064711545131008,497268304.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2550," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,,2017-09-27 15:34:04,False,,913064201773568001,,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2551," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,iRauhlLikeJB,2017-09-27 15:32:04,False,9.091579599718605e+17,913063699400839169,497268304.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2552," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,pham_annie,2017-09-27 15:30:04,False,9.091380928121119e+17,913063194826039299,569116297.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2553," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,2,kate23bieber,2017-09-27 15:28:04,False,9.093282516585021e+17,913062692457500672,888634100.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2554," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,11,JillianeSunga,2017-09-27 15:26:06,False,9.092765038162903e+17,913062196523003904,984198811.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2555," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,AramaAgam,2017-09-27 15:24:04,False,9.090018021290066e+17,913061685564493824,8.582610835844219e+17,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2556," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,runaway_loveeee,2017-09-27 15:22:04,False,9.086593622558392e+17,913061181920874497,2356688600.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2557," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,xxdowntoearth,2017-09-27 15:20:04,False,9.087358623677522e+17,913060680034607136,110107598.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2558," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,sweetangeI167,2017-09-27 15:18:05,False,9.081865484069765e+17,913060178966323202,60658925.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2559," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,xjustinisbae,2017-09-27 15:16:06,False,9.079034215456809e+17,913059682964639746,7.934266861424763e+17,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2560,Embellished denim is far up on our wish list! #HM  ,False,280,,2017-09-27 15:15:04,False,,913059421168824320,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,42,False,False,,,0.4574,0.249,0.0,0.751
2561," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,damartusia,2017-09-27 15:14:04,False,9.079301778622915e+17,913059168457838592,814883725.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2562," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,rauhlslegend,2017-09-27 15:12:04,False,9.078673305370378e+17,913058666357587969,235284057.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2563," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,Pjhomieee,2017-09-27 15:10:05,False,9.079260867129426e+17,913058165662547968,2881833685.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2564," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,kidrauhlskeyy,2017-09-27 15:08:04,False,9.079560049393541e+17,913057660194492416,293534355.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2565," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,arianadisaster,2017-09-27 15:06:05,False,9.079586987981742e+17,913057161869217792,2799402708.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2566," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,kidrauhlskeyy,2017-09-27 15:04:04,False,9.079519833274163e+17,913056652647174145,293534355.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2567," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,xjustinisbae,2017-09-27 15:02:04,False,9.079846470150595e+17,913056148990955520,7.934266861424763e+17,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2568," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,,2017-09-27 15:00:04,False,,913055646009970688,,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
