"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Inspired by music, check out the #IKEA SPRIDD limited collection! https://t.co/VxjVIlFQ9C https://t.co/23CSnredIt",FALSE,15,NA,2017-02-18 00:00:07,FALSE,NA,"832741449477206016",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",4,FALSE,FALSE,NA,NA
"@bgayathri Thanks for reaching out! We're working to have this error resolved right away. We truly appreciate your patience w/ us!",FALSE,0,"bgayathri",2017-02-17 22:06:34,FALSE,"832712208207409152","832712871830253568","15580253","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"@RaraHawk Hi Vincent - we're happy to check on this for you! Could you please send us a DM with your gift card number?",FALSE,0,"RaraHawk",2017-02-17 21:53:18,FALSE,"832699085350068225","832709533403324416","272455298","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Save 15% on select bed frames and mattresses at the #IKEA Bedroom Event now through February 28!… https://t.co/RgzFbM7XE5",FALSE,17,NA,2017-02-17 17:00:09,TRUE,NA,"832635760264179714",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",5,FALSE,FALSE,NA,NA
"Because you deserve a bed that's fit for beauty sleep. https://t.co/bYoXhKINGD https://t.co/fHVBuwZvk8",FALSE,24,NA,2017-02-17 00:00:12,FALSE,NA,"832379081693896704",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",4,FALSE,FALSE,NA,NA
"@SabaSedighi It sounds like you're having the best day ever <U+0001F600>!",FALSE,1,"SabaSedighi",2017-02-16 23:35:56,FALSE,"832370966197964800","832372973189332992","714985562","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"@Tinder Let us know if you need spare parts! https://t.co/Aj0BFKj1FI",FALSE,4,"Tinder",2017-02-16 22:58:30,FALSE,"832358212254920705","832363555836018692","625298957","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",1,FALSE,FALSE,NA,NA
"@TheMavShow Us right now! https://t.co/uN02AWGZ3P",FALSE,9,"TheMavShow",2017-02-16 21:56:44,FALSE,"832333801560772610","832348009518268417","2838834173","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"@jami_holmes Why not today? <U+0001F603>",FALSE,1,"jami_holmes",2017-02-16 18:31:11,FALSE,"832292875345993728","832296282932797442","587082858","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Get inspiration for your home from the 2017 #IKEA Catalog! https://t.co/Clr42kvGBY https://t.co/EOWJLpCewI",FALSE,21,NA,2017-02-16 17:00:09,FALSE,NA,"832273371266048000",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",5,FALSE,FALSE,NA,NA
"@Taylored We're sorry about this! Could you please DM us with your order number so we can look into this for you?",FALSE,0,"Taylored",2017-02-16 00:03:02,FALSE,"832016706348384257","832017406096769030","19787642","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Store the toothpaste &amp; show your style with #IKEA bathroom cabinets! https://t.co/gPiSvyObzd https://t.co/n6cLcfEngZ",FALSE,23,NA,2017-02-16 00:00:09,FALSE,NA,"832016680935002112",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",10,FALSE,FALSE,NA,NA
"@_lareinasam Hi! Shipping costs are based on your zip code. We're always working on reducing costs to our customers. Hope this helps!",FALSE,0,"_lareinasam",2017-02-15 23:50:02,FALSE,"832012814608916481","832014136427024384","509673775","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
