"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Computing is no longer being device-first, it’s about putting the human first and includes all the devices in their… https://t.co/129fNWa3IL",FALSE,575,NA,2019-02-24 17:10:29,TRUE,NA,"1099718219324157953",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",202,FALSE,FALSE,NA,NA
"<U+0001F4A1> Lights. <U+0001F3A5> Camera. <U+0001F3AC> Action.

In 30 minutes, our CEO @SatyaNadella will take the stage at #MWC19. Watch the livest… https://t.co/RZL3tmyFOL",FALSE,484,NA,2019-02-24 16:30:00,TRUE,NA,"1099708028708888579",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",160,FALSE,FALSE,NA,NA
".@Mira_Lane, our partner director for ethics and society, discusses human-centered AI design and responsible innova… https://t.co/UokDybQDHf",FALSE,131,NA,2019-02-22 22:56:31,TRUE,NA,"1099080522192510978",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",26,FALSE,FALSE,NA,NA
"RT @MSEurope: Quantum computing could help solve problems like global warming, providing a brighter future for today's generations. Read ab…",FALSE,0,NA,2019-02-22 22:04:09,FALSE,NA,"1099067347283763201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",41,TRUE,FALSE,NA,NA
"#Cloud-based innovations help @Albertsons make shopping faster and easier for its 35 million weekly customers: https://t.co/QqQFNkkVmV",FALSE,218,NA,2019-02-22 21:31:05,FALSE,NA,"1099059024278908928",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",57,FALSE,FALSE,NA,NA
"Join us Sunday, February 24, at 6PM CET/9AM PT to learn about new innovations for the future of computing: https://t.co/U3dzAsSWQN #MWC19",FALSE,520,NA,2019-02-22 19:24:28,FALSE,NA,"1099027161313353728",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",176,FALSE,FALSE,NA,NA
"RT @exxonmobil: Our new partnership with @Microsoft uses cloud technology that collects real-time data across hundreds of miles. This will…",FALSE,0,NA,2019-02-22 18:11:59,FALSE,NA,"1099008919253352449",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",78,TRUE,FALSE,NA,NA
"RT @satyanadella: We’re bringing new AI and mixed reality capabilities to Dynamics 365 to help organizations unlock new insights from data…",FALSE,0,NA,2019-02-22 18:06:10,FALSE,NA,"1099007453545390081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",201,TRUE,FALSE,NA,NA
"For @TeamHendrick, split-second decisions can win a race. <U+0001F3C1> That’s why they use Microsoft Teams to accelerate their… https://t.co/lqCApbl46W",FALSE,173,NA,2019-02-22 17:38:29,TRUE,NA,"1099000486990995456",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Microsoft",37,FALSE,FALSE,NA,NA
"How our CEO @SatyaNadella changed Microsoft and ""revitalized the company for the new era of tech"": https://t.co/iZvTUHe0tL via @Qz",FALSE,230,NA,2019-02-22 00:09:18,FALSE,NA,"1098736453037613056",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",59,FALSE,FALSE,NA,NA
